Pays déclarants,Pays partenaires,élément,Produit,Année,Valeur,Unité
France,Afghanistan,Exportations - Quantité,"Viande, volaille",2017,244,tonnes
France,Afghanistan,Exportations - Valeur,"Viande, volaille",2017,250,1000 US$
France,Afrique du Sud,Exportations - Quantité,"Viande, poulet en boîte",2017,1,tonnes
France,Afrique du Sud,Exportations - Valeur,"Viande, poulet en boîte",2017,12,1000 US$
France,Albanie,Exportations - Quantité,Poulets,2017,10,1000 têtes
France,Albanie,Exportations - Quantité,Poulets,2017,0,tonnes
France,Albanie,Exportations - Valeur,Poulets,2017,60,1000 US$
France,Albanie,Exportations - Quantité,"Viande, poulet en boîte",2017,10,tonnes
France,Albanie,Exportations - Valeur,"Viande, poulet en boîte",2017,28,1000 US$
France,Albanie,Exportations - Quantité,"Viande, volaille",2017,78,tonnes
France,Albanie,Exportations - Valeur,"Viande, volaille",2017,104,1000 US$
France,Algérie,Exportations - Quantité,Poulets,2017,1176,1000 têtes
France,Algérie,Exportations - Quantité,Poulets,2017,51,tonnes
France,Algérie,Exportations - Valeur,Poulets,2017,4905,1000 US$
France,Algérie,Exportations - Quantité,"Viande, poulet en boîte",2017,46,tonnes
France,Algérie,Exportations - Valeur,"Viande, poulet en boîte",2017,89,1000 US$
France,Allemagne,Exportations - Quantité,Poulets,2017,1536,1000 têtes
France,Allemagne,Exportations - Quantité,Poulets,2017,1313,tonnes
France,Allemagne,Exportations - Valeur,Poulets,2017,2596,1000 US$
France,Allemagne,Exportations - Quantité,"Viande, poulet en boîte",2017,1377,tonnes
France,Allemagne,Exportations - Valeur,"Viande, poulet en boîte",2017,10970,1000 US$
France,Allemagne,Exportations - Quantité,"Viande, volaille",2017,18920,tonnes
France,Allemagne,Exportations - Valeur,"Viande, volaille",2017,63571,1000 US$
France,Angola,Exportations - Quantité,"Viande, poulet en boîte",2017,2,tonnes
France,Angola,Exportations - Valeur,"Viande, poulet en boîte",2017,5,1000 US$
France,Angola,Exportations - Quantité,"Viande, volaille",2017,203,tonnes
France,Angola,Exportations - Valeur,"Viande, volaille",2017,253,1000 US$
France,Antigua-et-Barbuda,Exportations - Quantité,"Viande, poulet en boîte",2017,0,tonnes
France,Antigua-et-Barbuda,Exportations - Valeur,"Viande, poulet en boîte",2017,0,1000 US$
France,Arabie saoudite,Exportations - Quantité,"Viande, poulet en boîte",2017,611,tonnes
France,Arabie saoudite,Exportations - Valeur,"Viande, poulet en boîte",2017,1847,1000 US$
France,Arabie saoudite,Exportations - Quantité,"Viande, volaille",2017,97510,tonnes
France,Arabie saoudite,Exportations - Valeur,"Viande, volaille",2017,135045,1000 US$
France,Argentine,Exportations - Quantité,"Viande, poulet en boîte",2017,0,tonnes
France,Argentine,Exportations - Valeur,"Viande, poulet en boîte",2017,1,1000 US$
France,Arménie,Exportations - Quantité,"Viande, volaille",2017,275,tonnes
France,Arménie,Exportations - Valeur,"Viande, volaille",2017,199,1000 US$
France,Australie,Exportations - Quantité,"Viande, poulet en boîte",2017,30,tonnes
France,Australie,Exportations - Valeur,"Viande, poulet en boîte",2017,224,1000 US$
France,Autriche,Exportations - Quantité,Poulets,2017,83,1000 têtes
France,Autriche,Exportations - Quantité,Poulets,2017,94,tonnes
France,Autriche,Exportations - Valeur,Poulets,2017,510,1000 US$
France,Autriche,Exportations - Quantité,"Viande, poulet en boîte",2017,26,tonnes
France,Autriche,Exportations - Valeur,"Viande, poulet en boîte",2017,262,1000 US$
France,Autriche,Exportations - Quantité,"Viande, volaille",2017,456,tonnes
France,Autriche,Exportations - Valeur,"Viande, volaille",2017,1977,1000 US$
France,Azerbaïdjan,Exportations - Quantité,Poulets,2017,80,1000 têtes
France,Azerbaïdjan,Exportations - Quantité,Poulets,2017,3,tonnes
France,Azerbaïdjan,Exportations - Valeur,Poulets,2017,258,1000 US$
France,Azerbaïdjan,Exportations - Quantité,"Viande, poulet en boîte",2017,2,tonnes
France,Azerbaïdjan,Exportations - Valeur,"Viande, poulet en boîte",2017,10,1000 US$
France,Azerbaïdjan,Exportations - Quantité,"Viande, volaille",2017,20,tonnes
France,Azerbaïdjan,Exportations - Valeur,"Viande, volaille",2017,37,1000 US$
France,Bahamas,Exportations - Quantité,"Viande, poulet en boîte",2017,1,tonnes
France,Bahamas,Exportations - Valeur,"Viande, poulet en boîte",2017,8,1000 US$
France,Bahreïn,Exportations - Quantité,"Viande, poulet en boîte",2017,27,tonnes
France,Bahreïn,Exportations - Valeur,"Viande, poulet en boîte",2017,114,1000 US$
France,Bahreïn,Exportations - Quantité,"Viande, volaille",2017,251,tonnes
France,Bahreïn,Exportations - Valeur,"Viande, volaille",2017,413,1000 US$
France,Bangladesh,Exportations - Quantité,Poulets,2017,1403,1000 têtes
France,Bangladesh,Exportations - Quantité,Poulets,2017,62,tonnes
France,Bangladesh,Exportations - Valeur,Poulets,2017,6602,1000 US$
France,Bangladesh,Exportations - Quantité,"Viande, volaille",2017,28,tonnes
France,Bangladesh,Exportations - Valeur,"Viande, volaille",2017,21,1000 US$
France,Bélarus,Exportations - Quantité,"Viande, poulet en boîte",2017,2,tonnes
France,Bélarus,Exportations - Valeur,"Viande, poulet en boîte",2017,8,1000 US$
France,Bélarus,Exportations - Quantité,"Viande, volaille",2017,1046,tonnes
France,Bélarus,Exportations - Valeur,"Viande, volaille",2017,471,1000 US$
France,Belgique,Exportations - Quantité,Poulets,2017,39916,1000 têtes
France,Belgique,Exportations - Quantité,Poulets,2017,71031,tonnes
France,Belgique,Exportations - Valeur,Poulets,2017,68312,1000 US$
France,Belgique,Exportations - Quantité,"Viande, poulet en boîte",2017,7166,tonnes
France,Belgique,Exportations - Valeur,"Viande, poulet en boîte",2017,39767,1000 US$
France,Belgique,Exportations - Quantité,"Viande, volaille",2017,12577,tonnes
France,Belgique,Exportations - Valeur,"Viande, volaille",2017,44308,1000 US$
France,Bénin,Exportations - Quantité,Poulets,2017,85,1000 têtes
France,Bénin,Exportations - Quantité,Poulets,2017,3,tonnes
