Zone,Code de devise ISO (FAO),Devise,Année,Valeur
Afghanistan,AFN,Afghani,2017,68.02690408
Afrique du Sud,ZAR,Rand,2017,13.33378146
Albanie,ALL,Lek,2017,119.0996667
Algérie,DZD,Algerian Dinar,2017,110.9730167
Allemagne,EUR,Euro,2017,0.885205508
Andorre,EUR,Euro,2017,0.885205508
Angola,AOA,Kwanza,2017,165.9159507
Anguilla,XCD,East Caribbean Dollar,2017,2.7
Antigua-et-Barbuda,XCD,East Caribbean Dollar,2017,2.7
Arabie saoudite,SAR,Saudi Riyal,2017,3.75
Argentine,ARS,Argentine Peso,2017,16.56270693
Arménie,AMD,Armenian Dram,2017,482.7163939
Aruba,AWG,Aruban Florin,2017,1.79
Australie,AUD,Australian Dollar,2017,1.304758077
Autriche,EUR,Euro,2017,0.885205508
Azerbaïdjan,AZN,Azerbaijanian Manat,2017,1.721154802
Bahamas,BSD,Bahamian Dollar,2017,1
Bahreïn,BHD,Bahraini Dinar,2017,0.376
Bangladesh,BDT,Taka,2017,80.43754167
Barbade,BBD,Barbados Dollar,2017,2
Bélarus,BYR,Belarusian Ruble,2017,1.932341667
Belgique,EUR,Euro,2017,0.885205508
Belize,BZD,Belize Dollar,2017,2
Bénin,XOF,CFA Franc BCEAO,2017,580.6567496
Bermudes,BMD,Bermudian Dollar,2017,1
Bhoutan,BTN,Ngultrum,2017,65.12156856
Bolivie (état plurinational de),BOB,Boliviano,2017,6.91
Bosnie-Herzégovine,BAM,Convertible Mark,2017,1.735352713
Botswana,BWP,Pula,2017,10.34742088
Brésil,BRL,Brazilian Real,2017,3.191389446
Brunei Darussalam,BND,Brunei Dollar,2017,1.380891164
Bulgarie,BGN,Bulgarian Lev,2017,1.735458333
Burkina Faso,XOF,CFA Franc BCEAO,2017,580.6567496
Burundi,BIF,Burundi Franc,2017,1729.055
Cabo Verde,CVE,Cabo Verde Escudo,2017,97.80693777
Cambodge,KHR,Riel,2017,4050.579986
Cameroun,XAF,CFA Franc BEAC,2017,580.6567496
Canada,CAD,Canadian Dollar,2017,1.297736517
Chili,CLP,Chilean Peso,2017,648.8337926
Chine - RAS de Hong-Kong,HKD,Hong Kong Dollar,2017,7.79325
Chine - RAS de Macao,MOP,Pataca,2017,8.026001
"Chine, continentale",CNY,Yuan Renminbi,2017,6.758755086
Chypre,EUR,Euro,2017,0.885205508
Colombie,COP,Colombian Peso,2017,2951.327402
Comores,KMF,Comoro Franc,2017,435.4925622
Congo,XAF,CFA Franc BEAC,2017,580.6567496
Costa Rica,CRC,Costa Rican Colon,2017,567.5130903
Côte d'Ivoire,XOF,CFA Franc BCEAO,2017,580.6567496
Croatie,HRK,Kuna,2017,6.623831
Cuba,CUP,Cuban Peso,2017,1
Curaçao,ANG,Netherlands Antillean Guilder,2017,1.79
Danemark,DKK,Danish Krone,2017,6.602893466
Djibouti,DJF,Djibouti Franc,2017,177.72
Dominique,XCD,East Caribbean Dollar,2017,2.7
Égypte,EGP,Egyptian Pound,2017,17.78253352
El Salvador,USD,US Dollar,2017,1
Émirats arabes unis,AED,UAE Dirham,2017,3.6725
Équateur,USD,US Dollar,2017,1
Érythrée,ERN,Nakfa,2017,15.075
Espagne,EUR,Euro,2017,0.885205508
Estonie,EUR,Euro,2017,0.885205508
Eswatini,SZL,Lilangeni,2017,13.33378146
États-Unis d'Amérique,USD,US Dollar,2017,1
Éthiopie,ETB,Ethiopian Birr,2017,23.86610446
Fédération de Russie,RUB,Russian Ruble,2017,58.34280119
Fidji,FJD,Fiji Dollar,2017,2.066875304
Finlande,EUR,Euro,2017,0.885205508
France,EUR,Euro,2017,0.885205508
Gabon,XAF,CFA Franc BEAC,2017,580.6567496
Gambie,GMD,Dalasi,2017,46.60752712
Géorgie,GEL,Lari,2017,2.509541667
Ghana,GHS,Ghana Cedi,2017,4.350741667
Grèce,EUR,Euro,2017,0.885205508
Grenade,XCD,East Caribbean Dollar,2017,2.7
Groenland,DKK,Danish Krone,2017,6.602893466
Guatemala,GTQ,Quetzal,2017,7.34793875
Guinée,GNF,Guinea Franc,2017,9088.319508
Guinée équatoriale,XAF,CFA Franc BEAC,2017,580.6567496
Guinée-Bissau,XOF,CFA Franc BCEAO,2017,580.6567496
Guyana,GYD,Guyana Dollar,2017,206.5
Haïti,HTG,Gourde,2017,64.76968029
Honduras,HNL,Lempira,2017,23.48708394
Hongrie,HUF,Forint,2017,274.4333333
Îles Caïmanes,KYD,Cayman Islands Dollar,2017,0.82
Îles Cook,NZD,New Zealand Dollar,2017,1.407408333
Îles Marshall,USD,US Dollar,2017,1
